"","EXISTING TOOLS SURVEY REKANUSA 2025 No A","Tools Alat Pelindung Diri/Safety First","Merk ","Checklist Ketersediaan ","Total Asset (unit) ","Condition Good ","Bad ","KETERANGAN ","",""
"","1","Rompi Rekanusa","","","","","","","",""
"","2","Rompi Polos","","","","","","","",""
"","3","Helm Rekanusa","","","","","","","",""
"","4","Helm Putih Pols","","","","","","","",""
"","5","Helm safety Baru","","","","","","","",""
"","6","Sepatu Safety","","","","","","","",""
"","7","Sepatu Safety cheetah","","","","","","","",""
"","8","Sepatu Safety Krisbow Prince 6","","","","","","","",""
"","9","Safety Traffic Cone","","","","","","","",""
"","10","Krisbow Protective Case Black ( SRPC10BK) Size L","","","","","","","",""
"","11","Krisbow Protective Case Black ( SRPC10BK) Size M","","","","","","","",""
"","12","Bag/Tas Eiger","","","","","","","",""
"","13","Camera Bag C11","","","","","","","",""
"","14","Masker","","","","","","","",""
"","15","Headlamp","","","","","","","",""
"","16","","","","","","","","",""
"","17","","","","","","","","",""
"","","Alat Dokumentasi","","","","","","","",""
"","1","Camera Canon EOS M10","","","","","","","",""
"","2","Digital Camera Bcare","","","","","","","",""
"","3","Camera Nikon W300","","","","","","","",""
"","4","Handphone SAMSUNG M23 5G","","","","","","","",""
"","5","Handphone REDMI 9C","","","","","","","",""
"","6","Drone DJI Mini 2 SE (New)","","","","","","","",""
"","7","Drone DJI Mini 2","","","","","","","",""
"","8","Drone SIRC F22","","","","","","","",""
"","9","Stabilizer Camera FEIYU SCORP","","","","","","","",""
"","10","","","","","","","","",""
"","11","","","","","","","","",""
"","","Support Tools","","","","","","","",""
"","1","Kunci Torsi","","","","","","","",""
"","2","Hand Wrench+kunci sok","","","","","","","",""
"","3","Kunci pas ( box )","","","","","","","",""
"","4","Kunci L bintrang ( 1 set )","","","","","","","",""
"","5","Kunci L hexagonal ( 1 set )","","","","","","","",""
"","6","Isku Tool box","","","","","","","",""
"","7","Baterai A2","","","","","","","",""
"","8","Baterai A3","","","","","","","",""
"","9","Papan Jalan","","","","","","","",""
"","10","Palu","","","","","","","",""
"","11","Kabel & Stop Kontak","","","","","","","",""
"","","Alat Survey Arsitektur","","","","","","","",""
"","1","Meteran Tangan 5m","","","","","","","",""
"","2","Meteran Tangan 7,5m","","","","","","","",""
"","3","Meteran Tangan 8m","","","","","","","",""
"","4","Meteran Roll 50m","","","","","","","",""
"","5","Meteran Roll 100m","","","","","","","",""
"","6","Meteran Roda/Wheel Meter","","","","","","","",""
"","7","Meteran Laser SYDNEY","","","","","","","",""
"","8","Meteran Laser LAICA","","","","","","","",""
"","9","","","","","","","","",""
"","10","","","","","","","","",""
"","","Alat  Sipil","","","","","","","",""
"","1","Hammer Test","","","","","","","",""
"","2","Thickness coating","","","","","","","",""
"","3","Hardnest test","","","","","","","",""
"","4","Ultrasonic Thickness","","","","","","","",""
"","5","Rebar Scan","","","","","","","",""
"","6","Theodolite Nikon NE 101+meteran+tripod","","","","","","","",""
"","7","Bor Portable merk APR","","","","","","","",""
"","8","DCA Diamond Core Bit","","","","","","","",""
"","9","Boschhammer GBH 2-28 DFV","","","","","","","",""
"","10","Penggaris Crack","","","","","","","",""
"","11","Infrared Thermograph Flir MR277","","","","","","","",""
"","12","Ultrasonic Pulse Velocity Test","","","","","","","",""
"","13","Carbonation Test","","","","","","","",""
"","14","Half potencial Test","","","","","","","",""
"","15","UPE Test PROCEQ Pundit PL200PE","","","","","","","",""
"","16","","","","","","","","",""
"","17","","","","","","","","",""
"","","Alat MEP & Utility","","","","","","","",""
"","1","Lux Meter","","","","","","","",""
"","2","Humidity Meter","","","","","","","",""
"","3","Sound Meter","","","","","","","",""
"","4","Anemometer","","","","","","","",""
"","5","Compound gas monitor/CO2","","","","","","","",""
"","6","Tang Ampere","","","","","","","",""
"","7","Thermal Imaging Gun (Thermogun)","","","","","","","",""
"","8","Digital Earth Tester penangkal Petir","","","","","","","",""
"","9","Clamp earth Resistance meter","","","","","","","",""
"","10","Vibrator With Tachometer","","","","","","","",""
"","11","Halogen Leak Detector","","","","","","","",""
"","12","Isoulation Continuity Tester/Merger Tester","","","","","","","",""
"","13","Ultrasonic Flowmeter","","","","","","","",""
"","14","","","","","","","","",""
"","15","","","","","","","","",""